ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,label
12998,50000.0,1,2,2,30,2,2,2,2,2,-2,200.0,200.0,200.0,200.0,-200.0,0.0,0.0,0.0,0.0,0.0,200.0,0.0,1
11887,50000.0,2,3,1,50,0,0,0,-2,-2,-2,43140.0,43496.0,0.0,0.0,0.0,0.0,2500.0,0.0,0.0,0.0,0.0,0.0,0
28602,200000.0,2,2,1,41,0,-1,-1,-1,0,0,6981.0,678.0,1287.0,54531.0,55229.0,56836.0,1000.0,1350.0,54531.0,2200.0,2500.0,2300.0,0
4105,210000.0,1,2,2,25,2,0,0,0,2,0,7474.0,8625.0,3511.0,4950.0,4727.0,5494.0,1500.0,1500.0,1500.0,0.0,1000.0,1000.0,1
14523,30000.0,2,2,2,25,0,0,0,0,0,2,7204.0,7453.0,7098.0,10148.0,22070.0,23182.0,1200.0,1114.0,4000.0,13000.0,2000.0,0.0,0
18712,70000.0,2,1,2,26,0,0,0,0,0,0,46222.0,47650.0,48867.0,47808.0,43022.0,44077.0,2500.0,2300.0,2300.0,2000.0,1900.0,3000.0,0
19638,50000.0,2,3,1,49,2,0,0,0,-2,-2,48297.0,50487.0,51400.0,0.0,0.0,0.0,3000.0,2400.0,0.0,0.0,0.0,0.0,1
5560,110000.0,1,2,2,34,0,0,0,0,0,0,111576.0,102942.0,99241.0,73151.0,64731.0,66025.0,4100.0,3680.0,2511.0,2350.0,2370.0,2610.0,0
6193,380000.0,1,1,1,53,1,-1,-1,-1,-1,-1,0.0,767.0,4090.0,9471.0,1993.0,1164.0,767.0,4090.0,9476.0,1993.0,1164.0,3514.0,0
23774,240000.0,2,1,1,53,-2,-2,-1,-1,-2,-2,0.0,0.0,2007.0,-40.0,-40.0,8091.0,0.0,2007.0,40.0,0.0,8131.0,0.0,0
28650,370000.0,2,3,1,46,-2,-2,-2,-2,-2,-2,6370.0,2110.0,10086.0,804.0,4577.0,-10.0,2120.0,10136.0,808.0,4599.0,0.0,2150.0,0
28140,520000.0,2,1,1,37,-2,-2,-2,-2,-2,-2,4439.0,3487.0,7491.0,2310.0,12000.0,0.0,3913.0,7494.0,2310.0,12000.0,0.0,0.0,0
12734,80000.0,1,2,2,24,0,0,0,0,0,0,35926.0,32813.0,22638.0,18805.0,6058.0,0.0,5041.0,4238.0,5051.0,3118.0,0.0,0.0,0
8974,20000.0,1,3,1,27,1,3,2,0,0,-2,20386.0,20757.0,19200.0,20000.0,0.0,0.0,1000.0,0.0,1000.0,0.0,0.0,0.0,0
4034,710000.0,2,1,2,32,0,0,0,0,0,0,28585.0,31719.0,34854.0,35774.0,35524.0,35047.0,3561.0,3696.0,1616.0,3024.0,5011.0,2011.0,0
1812,50000.0,1,2,2,53,0,0,0,0,0,0,18922.0,19486.0,19917.0,20017.0,20146.0,20221.0,1329.0,1310.0,680.0,705.0,728.0,690.0,0
28739,240000.0,2,2,1,31,-1,-1,-1,-1,-1,-1,184.0,0.0,2500.0,12500.0,749.0,2829.0,0.0,2500.0,12500.0,749.0,2829.0,2900.0,0
5864,320000.0,1,2,2,44,-1,-1,-2,-2,-2,-2,36831.0,28785.0,13104.0,2621.0,9075.0,6564.0,28791.0,13227.0,2621.0,9075.0,6564.0,12767.0,0
2110,60000.0,2,2,2,22,0,0,-1,-1,0,0,11718.0,4878.0,18347.0,15707.0,18976.0,6355.0,1000.0,37325.0,20800.0,3500.0,1232.0,113.0,0
15923,80000.0,2,2,1,29,2,2,2,2,0,0,82074.0,79440.0,102872.0,49043.0,23962.0,23283.0,0.0,4300.0,0.0,1000.0,5000.0,1000.0,1
21337,200000.0,1,6,1,66,0,0,0,0,0,0,143994.0,102211.0,54762.0,55858.0,56338.0,57360.0,4767.0,2573.0,2604.0,1997.0,2228.0,2094.0,0
29932,60000.0,1,2,3,41,0,0,0,0,0,0,61118.0,50643.0,44004.0,26940.0,9971.0,-11798.0,2200.0,2000.0,1200.0,0.0,0.0,28000.0,0
19546,160000.0,2,3,1,28,2,2,2,2,0,0,132528.0,135846.0,136732.0,101473.0,100895.0,103107.0,7000.0,5000.0,0.0,3770.0,4000.0,4000.0,0
20303,240000.0,2,2,1,53,-2,-2,-2,-2,-2,-2,890.0,236.0,0.0,2194.0,439.0,1085.0,236.0,0.0,2194.0,441.0,1085.0,858.0,0
21598,130000.0,2,1,2,27,1,-1,0,-1,-1,0,0.0,1386.0,5275.0,198.0,3992.0,8893.0,1386.0,4000.0,198.0,3992.0,5000.0,40000.0,0
10449,90000.0,1,2,1,41,0,0,0,0,0,0,45431.0,46338.0,45129.0,45640.0,46175.0,46716.0,2749.0,2206.0,1113.0,1135.0,1153.0,1134.0,0
6285,150000.0,2,1,2,32,0,0,0,0,0,0,30697.0,40139.0,49410.0,58549.0,67560.0,86315.0,10000.0,10000.0,10000.0,10000.0,20000.0,1718.0,0
932,320000.0,1,1,1,60,-1,-1,-1,-1,0,-1,9955.0,3465.0,84421.0,886.0,11741.0,4317.0,3465.0,84440.0,886.0,11533.0,4317.0,52466.0,1
11462,210000.0,2,1,2,46,-1,-1,-1,0,0,-1,15655.0,3918.0,29881.0,24247.0,21664.0,1556.0,4854.0,30366.0,0.0,433.0,1556.0,14047.0,1
17619,80000.0,2,1,1,32,-1,3,2,-1,0,0,4927.0,4693.0,3342.0,4844.0,3728.0,2612.0,0.0,0.0,4844.0,0.0,0.0,0.0,1
